10000,	 10000 BACKEND APPLICATION ERROR
10009,	 10009 PAGE NUMBER MUST NOT EXCEED 50
10010,	 10010 INVALID ENTRY
10011,	 10011 INVALID ENTRY FOR OPTIONS
10012,	 10012 INVALID ENTRY FOR PRODUCT TYPE
10014,	 10014 INVALID ENTRY FOR PRODUCT
10015,	 10015 INVALID CONTRACT
10016,	 10016 INVALID ENTRY FOR CONTRACT
10017,	 10017 INVALID SOURCE EXCHANGE FOR UNDERLYING
10018,	 10018 SOURCE EXCHANGE MUST BE XEUR FOR THIS UNDERLYING
10020,	 10020 SELECTION CODE MUST   = X
10021,	 10021 ONLY ONE FUNCTION CAN BE SELECTED AT A TIME
10022,	 10022 UPDATE PROCESSING HAS BEEN CANCELLED - HIT [RETURN] TO EXIT PROGRAM
10025,	 10025 NO FUNCTION HAS BEEN SELECTED
10029,	 10029 NO PRIVILEGES EXIST FOR THE REQUESTED ACTION
10030,	 10030 INVALID MEMBER ID ENTRY
10031,	 10031 SUBGROUP NOT DEFINED
10032,	 10032 EXERCISE PERMITTED FOR EUROPEAN STYLE PRODUCTS ONLY ON EXPIRATION DAY
10033,	 10033 EXERCISE STYLE MUST BE BLANK FOR FUTURES
10034,	 10034 EXERCISE STYLE MUST BE 'A' OR 'E'
10035,	 10035 NO SUCH TRANSACTION AVAILABLE
10036,	 10036 SHORT CALENDAR NAME DOES NOT EXIST
10037,	 10037 CONVERSION UNIT IS NO POWER OF 10
10038,	 10038 THE ENTERED SECURITY HAS THE WRONG CURRENCY
10039,	 10039 INVALID CURRENCY
10040,	 10040 RELATION DOES NOT EXIST BETWEEN EXG MEMBER AND CLG MEMBER
10041,	 10041 CHANGE OF DECIMAL SHIFT IS NOT ALLOWED
10042,	 10042 CHANGE OF SHORT CALENDAR NAME IS NOT ALLOWED
10043,	 10043 UPDATE CANNOT BE MADE UNLESS CLG RELATIONSHIPS EXIST FOR ALL MEMBERS
10044,	 10044 ALL MEMBERS MUST HAVE CLG RELATIONSHIPS BEFORE ENTERING BATCH
10045,	 10045 INVALID TARGET RELATIONSHIP
10046,	 10046 SETTLEMENT PERIOD PER CURRENCY MUST BE GREATER THAN 0
10047,	 10047 CHANGE OF SETTLEMENT PERIOD PER CURRENCY IS NOT ALLOWED
10048,	 10048 SETTLEMENT PERIOD MUST NOT BE LESS THAN THE CURRENCY SETTLEMENT PERIOD
10049,	 10049 CONFLICTING HOLIDAY AND EXPIRY DATE
10050,	 10050 INVALID SOURCE RELATIONSHIP
10051,	 10051 UNKNOWN SERIES
10054,	 10054 MULTISELECT POSSIBLE ONLY IF PRODUCT WAS SELECTED ON PROMPT FORM
10055,	 10055 NO DATA ON LINE SELECTED
10056,	 10056 INVALID ACTION - MORE THAN ONE LINE HAS BEEN SELECTED
10057,	 10057 ADDS AND DELETES ALLOWED ON A040, A042 AND A043
10058,	 10058 ADDS AND DELETES ALLOWED ON SCREEN A042 OR A043
10059,	 10059 NOT ALLOWED TO SELECT LINES WHEN A TRAN CODE HAS BEEN SPECIFIED
10060,	 10060 MEMBERS'S PRIMARY RELATIONSHIP IS NOT ACTIVE
10061,	 10061 ONLY CHANGE OR INQUIRY ARE ALLOWED TO COMMODITY PRODUCT PARAMETERS
10062,	 10062 ONLY PRICE RANGE TYP 'A' OR 'P' ALLOWED
10065,	 10065 RELATION MUST BE ACTIVE
10066,	 10066 UNKNOWN PRODUCT
10070,	 10070 NEW CLEARING TYPE MUST BE INDICATED
10071,	 10071 INPUT PARAMETERS LEAD TO A NEGATIVE R-FACTOR. CHECK YOUR PARAMETERS.
10072,	 10072 INVALID MAJOR CURRENCY
10073,	 10073 MAJOR CURRENCY CANNOT BE A MINOR CURRENCY
10074,	 10074 CANNOT CHANGE A CURRENCY FROM/TO MINOR/MAJOR
10075,	 10075 CHANGING HAIRCUT VALUES NOT ALLOWED FOR MINOR CURRENCY
10076,	 10076 CHANGING EXCH RATE VALUES NOT ALLOWED FOR MINOR CURRENCY
10077,	 10077 CANNOT DELETE MAJOR CURRENCY
10078,	 10078 INVALID EUREX KRX MEMBER RELATION
10079,	 10079 LAST TRADE PRICE FILE NOT AVAILABLE
10080,	 10080 HISTORY NOT AVAILABLE
10090,	 10090 INTEREST RATES DO NOT EXIST FOR THIS CURRENCY
10091,	 10091 CANNOT DISABLE EUREX CURRENCY FLAG: CURRENCY USED IS A CLEARING CURRENCY
10094,	 10094 CANNOT TRANSFER FROM A MKT MAKER ACCT TO A NON-MKT MAKER ACCT
10095,	 10095 CANNOT TRANSFER QUOTES FROM MKT MAKER TO A NON-MKT MAKER
10096,	 10096 DUPLICATE CLEARING MEMBER CANNOT BE ENTERED
10097,	 10097 TRANSFER ONLY ALLOWED INTO AGENT ACCOUNT
10098,	 10098 QUOTE REQUEST CANNOT BE ADJUSTED
10099,	 10099 DUPLICATE ACCOUNT TYPE CANNOT BE ENTERED
10100,	 10100 CANNOT WITHDRAW DEUTSCHE MARK
10101,	 10101 INVALID ENTRY - SEPARATION TRANSACTION AMOUNT MUST BE POSITIVE
10102,	 10102 INVALID ENTRY - SEPARATION TRANSACTION AMOUNT MUST BE NEGATIVE
