0,	00000 - SUCCESSFUL COMPLETION
1,	00001 - ASSERTION FAILED
2,	00002 - STARTUP SUCCESSFUL
10,	00010 - AN OPERATING SYSTEM CALL FAILED
12,	00012 - INVALID REQUEST ID
13,	00013 - INVALID MESSAGE TYPE
14,	00014 - OUT OF MEMORY
15,	00015 - INVALID VERSION NUMBER
16,	00016 - FUNCTION OF NOT INITIALIZED MODULE CALLED
18,	00018 - INVALID OPERATION
19,	00019 - CHANNEL IS CLOSED
20,	00020 - LISTENING CHANNEL IS CLOSED
21,	00021 - OUTPUT QUEUE LIMIT IS REACHED
23,	00023 - INVALID PARAMETER PASSED
24,	00024 - NO PARAMETERS NEEDED IN STARTING THIS PROCESS
25,	00025 - INVALID CONNECTION ID
26,	00026 - INVALID SEQUENCE NUMBER
27,	00027 - CHANNEL NOT ESTABLISHED
28,	00028 - UNKNOWN SUBSCRIPTION ID
29,	00029 - CANNOT DELIVER BROADCAST MESSAGE (EMPTY CLOSURE)
30,	00030 - RECEIVED REPEATED CONNECT ON ONE CHANNEL
31,	00031 - CHILD PROCESS COULD NOT BE STARTED
35,	00035 - COULD NOT GET SYSTEM TIME
37,	00037 - THE CONNECT MESSAGE BODY HAS THE WRONG LENGTH
38,	00038 - MAXIMUM NUMBER OF CONNECTIONS REACHED
42,	00042 - WRITE WILL BE COMPLETED ASYNCHRONOUSLY
43,	00043 - COULD NOT OPEN CHANNEL - PEER PROCESS MAY BE DOWN
44,	00044 - READ ERROR OSAIPC
45,	00045 - WRITE ERROR OSAIPC
46,	00046 - COULD NOT CREATE LISTEN - PORT IN USE
47,	00047 - MESSAGE TO BE READ FROM CHANNEL IS TOO LONG
48,	00048 - INVALID MESSAGE LENGTH
49,	00049 - ERROR CREATE LISTEN - EMPTY PORT
59,     00059 - WRONG EFFECTIVE USERID
60,	00060 - USER IS NOT ALLOWED TO USE THE EXCHANGE APPLICATION OR USER IS NOT REGISTERED
61,	00061 - INVALID PASSWORD
